kategoriNama,propNama,gudangNama,Ratio
ADMINISTRASI PAROKI,BABEL,GUDANG KANTOR PUSAT,0.07692307692307693
ADMINISTRASI PAROKI,BABEL,KANTOR PEMASARAN DISTRIK TANGERANG,0.9230769230769231
ADMINISTRASI PAROKI,BALI,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,BANTEN,KANTOR PEMASARAN DISTRIK TANGERANG,0.6
ADMINISTRASI PAROKI,BANTEN,TAMAN KOMUNIKASI ST. MARIA,0.4
ADMINISTRASI PAROKI,BENGKULU,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,DIY,GUDANG KANTOR PUSAT,0.475177304964539
ADMINISTRASI PAROKI,DIY,TAMAN KOMUNIKASI PUSAT,0.5177304964539007
ADMINISTRASI PAROKI,DIY,\N,0.0070921985815602835
ADMINISTRASI PAROKI,DKI,KANTOR PEMASARAN JAKARTA,0.1
ADMINISTRASI PAROKI,DKI,SHOWROOM KPJ,0.2
ADMINISTRASI PAROKI,DKI,TAMAN KOMUNIKASI ST. MARIA,0.7
ADMINISTRASI PAROKI,JABAR,KANTOR PEMASARAN BANDUNG,0.43243243243243246
ADMINISTRASI PAROKI,JABAR,KANTOR PEMASARAN JAKARTA,0.02702702702702703
ADMINISTRASI PAROKI,JABAR,KANTOR PEMASARAN PALEMBANG,0.43243243243243246
ADMINISTRASI PAROKI,JABAR,SHOWROOM KPJ,0.10810810810810811
ADMINISTRASI PAROKI,JAMBI,KANTOR PEMASARAN PALEMBANG,1.0
ADMINISTRASI PAROKI,JATENG,GUDANG KANTOR PUSAT,0.8166666666666667
ADMINISTRASI PAROKI,JATENG,TAMAN KOMUNIKASI PUSAT,0.07777777777777778
ADMINISTRASI PAROKI,JATENG,\N,0.10555555555555556
ADMINISTRASI PAROKI,JATIM,GUDANG KANTOR PUSAT,0.3076923076923077
ADMINISTRASI PAROKI,JATIM,KANTOR PEMASARAN SURABAYA,0.4230769230769231
ADMINISTRASI PAROKI,JATIM,TAMAN KOMUNIKASI PUSAT,0.2692307692307692
ADMINISTRASI PAROKI,KALBAR,TAMAN KOMUNIKASI PUSAT,1.0
ADMINISTRASI PAROKI,KALSEL,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,KALTENG,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,KALTIM,GUDANG KANTOR PUSAT,0.941747572815534
ADMINISTRASI PAROKI,KALTIM,TAMAN KOMUNIKASI PUSAT,0.05825242718446602
ADMINISTRASI PAROKI,KEPULAUAN RIAU,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,MALUKU,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,NTT,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,PAPUA SELATAN,GUDANG KANTOR PUSAT,0.9425287356321839
ADMINISTRASI PAROKI,PAPUA SELATAN,KANTOR PEMASARAN JAKARTA,0.05747126436781609
ADMINISTRASI PAROKI,PAPUA TENGAH,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,SULSEL,GUDANG KANTOR PUSAT,0.7241379310344828
ADMINISTRASI PAROKI,SULSEL,SHOWROOM KPJ,0.2413793103448276
ADMINISTRASI PAROKI,SULSEL,TAMAN KOMUNIKASI PUSAT,0.034482758620689655
ADMINISTRASI PAROKI,SULUT,GUDANG KANTOR PUSAT,1.0
ADMINISTRASI PAROKI,SUMSEL,GUDANG KANTOR PUSAT,0.09375
ADMINISTRASI PAROKI,SUMSEL,KANTOR PEMASARAN PALEMBANG,0.90625
ADMINISTRASI PAROKI,SUMUT,GUDANG KANTOR PUSAT,0.9
ADMINISTRASI PAROKI,SUMUT,KANTOR PEMASARAN PALEMBANG,0.1
AJARAN GEREJA,BABEL,KANTOR PEMASARAN PALEMBANG,1.0
AJARAN GEREJA,BALI,GUDANG KANTOR PUSAT,0.6666666666666666
AJARAN GEREJA,BALI,TAMAN KOMUNIKASI PUSAT,0.3333333333333333
AJARAN GEREJA,BANTEN,GUDANG KANTOR PUSAT,0.19133574007220217
AJARAN GEREJA,BANTEN,KANTOR PEMASARAN DISTRIK TANGERANG,0.6570397111913358
AJARAN GEREJA,BANTEN,KANTOR PEMASARAN JAKARTA,0.010830324909747292
AJARAN GEREJA,BANTEN,TAMAN KOMUNIKASI PUSAT,0.0036101083032490976
AJARAN GEREJA,BANTEN,TAMAN KOMUNIKASI ST. LAURENSIUS,0.061371841155234655
AJARAN GEREJA,BANTEN,TAMAN KOMUNIKASI ST. MARIA,0.07581227436823104
AJARAN GEREJA,DIY,GUDANG KANTOR PUSAT,0.36551339285714285
AJARAN GEREJA,DIY,KANTOR PEMASARAN DISTRIK TANGERANG,0.0011160714285714285
AJARAN GEREJA,DIY,SHOWROOM KPJ,0.002232142857142857
AJARAN GEREJA,DIY,TAMAN KOMUNIKASI PUSAT,0.6155133928571429
AJARAN GEREJA,DIY,TAMAN KOMUNIKASI ST. LAURENSIUS,0.0011160714285714285
AJARAN GEREJA,DIY,TAMAN KOMUNIKASI ST. MARIA,0.010044642857142858
AJARAN GEREJA,DIY,\N,0.004464285714285714
AJARAN GEREJA,DKI,GUDANG KANTOR PUSAT,0.6538461538461539
AJARAN GEREJA,DKI,KANTOR PEMASARAN DISTRIK TANGERANG,0.008442776735459663
AJARAN GEREJA,DKI,KANTOR PEMASARAN JAKARTA,0.25140712945590993
AJARAN GEREJA,DKI,SHOWROOM KPJ,0.024390243902439025
AJARAN GEREJA,DKI,TAMAN KOMUNIKASI PUSAT,0.004690431519699813
AJARAN GEREJA,DKI,TAMAN KOMUNIKASI ST. LAURENSIUS,0.0075046904315197
AJARAN GEREJA,DKI,TAMAN KOMUNIKASI ST. MARIA,0.04878048780487805
AJARAN GEREJA,DKI,\N,0.0009380863039399625
AJARAN GEREJA,JABAR,GUDANG KANTOR PUSAT,0.130779392338177
AJARAN GEREJA,JABAR,KANTOR PEMASARAN BANDUNG,0.22192866578599735
AJARAN GEREJA,JABAR,KANTOR PEMASARAN JAKARTA,0.2820343461030383
AJARAN GEREJA,JABAR,KANTOR PEMASARAN PALEMBANG,0.34346103038309117
AJARAN GEREJA,JABAR,SHOWROOM KPJ,0.013210039630118891
AJARAN GEREJA,JABAR,TAMAN KOMUNIKASI PUSAT,0.001321003963011889
AJARAN GEREJA,JABAR,TAMAN KOMUNIKASI ST. LAURENSIUS,0.0006605019815059445
AJARAN GEREJA,JABAR,\N,0.0066050198150594455
AJARAN GEREJA,JAMBI,GUDANG KANTOR PUSAT,0.20512820512820512
AJARAN GEREJA,JAMBI,KANTOR PEMASARAN PALEMBANG,0.7948717948717948
AJARAN GEREJA,JATENG,GUDANG KANTOR PUSAT,0.8142465753424658
AJARAN GEREJA,JATENG,KANTOR PEMASARAN DISTRIK TANGERANG,0.000547945205479452
AJARAN GEREJA,JATENG,SHOWROOM KPJ,0.000547945205479452
AJARAN GEREJA,JATENG,TAMAN KOMUNIKASI PUSAT,0.1506849315068493
AJARAN GEREJA,JATENG,TAMAN KOMUNIKASI ST. LAURENSIUS,0.000547945205479452
AJARAN GEREJA,JATENG,\N,0.033424657534246574
AJARAN GEREJA,JATIM,GUDANG KANTOR PUSAT,0.2558717877866814
AJARAN GEREJA,JATIM,KANTOR PEMASARAN SURABAYA,0.7402597402597403
AJARAN GEREJA,JATIM,TAMAN KOMUNIKASI PUSAT,0.0038684719535783366
AJARAN GEREJA,KALBAR,GUDANG KANTOR PUSAT,0.7584541062801933
AJARAN GEREJA,KALBAR,SHOWROOM KPJ,0.24154589371980675
AJARAN GEREJA,KALSEL,GUDANG KANTOR PUSAT,0.65
AJARAN GEREJA,KALSEL,KANTOR PEMASARAN SURABAYA,0.2
AJARAN GEREJA,KALSEL,TAMAN KOMUNIKASI PUSAT,0.15
AJARAN GEREJA,KALTARA,GUDANG KANTOR PUSAT,0.958041958041958
AJARAN GEREJA,KALTARA,SHOWROOM KPJ,0.03496503496503497
AJARAN GEREJA,KALTARA,TAMAN KOMUNIKASI PUSAT,0.006993006993006993
AJARAN GEREJA,KALTENG,GUDANG KANTOR PUSAT,0.5
AJARAN GEREJA,KALTENG,KANTOR PEMASARAN SURABAYA,0.5
AJARAN GEREJA,KALTIM,GUDANG KANTOR PUSAT,0.994535519125683
AJARAN GEREJA,KALTIM,SHOWROOM KPJ,0.00546448087431694
AJARAN GEREJA,LAMPUNG,GUDANG KANTOR PUSAT,0.8
AJARAN GEREJA,LAMPUNG,KANTOR PEMASARAN PALEMBANG,0.2
AJARAN GEREJA,MALUT,TAMAN KOMUNIKASI PUSAT,1.0
AJARAN GEREJA,NTT,GUDANG KANTOR PUSAT,0.9036144578313253
AJARAN GEREJA,NTT,KANTOR PEMASARAN BANDUNG,0.024096385542168676
AJARAN GEREJA,NTT,KANTOR PEMASARAN SURABAYA,0.012048192771084338
AJARAN GEREJA,NTT,SHOWROOM KPJ,0.04216867469879518
AJARAN GEREJA,NTT,TAMAN KOMUNIKASI PUSAT,0.012048192771084338
AJARAN GEREJA,NTT,TAMAN KOMUNIKASI ST. MARIA,0.006024096385542169
AJARAN GEREJA,PAPUA BARAT,GUDANG KANTOR PUSAT,1.0
AJARAN GEREJA,PAPUA TENGAH,GUDANG KANTOR PUSAT,1.0
AJARAN GEREJA,RIAU,GUDANG KANTOR PUSAT,0.25
AJARAN GEREJA,RIAU,KANTOR PEMASARAN BANDUNG,0.75
AJARAN GEREJA,SULSEL,GUDANG KANTOR PUSAT,0.9375
AJARAN GEREJA,SULSEL,SHOWROOM KPJ,0.015625
AJARAN GEREJA,SULSEL,TAMAN KOMUNIKASI PUSAT,0.046875
AJARAN GEREJA,SULUT,GUDANG KANTOR PUSAT,1.0
AJARAN GEREJA,SUMBAR,GUDANG KANTOR PUSAT,1.0
AJARAN GEREJA,SUMSEL,GUDANG KANTOR PUSAT,0.42857142857142855
AJARAN GEREJA,SUMSEL,KANTOR PEMASARAN PALEMBANG,0.5714285714285714
AJARAN GEREJA,SUMUT,GUDANG KANTOR PUSAT,0.96
AJARAN GEREJA,SUMUT,KANTOR PEMASARAN JAKARTA,0.022222222222222223
AJARAN GEREJA,SUMUT,SHOWROOM KPJ,0.013333333333333334
AJARAN GEREJA,SUMUT,TAMAN KOMUNIKASI PUSAT,0.0044444444444444444
BACAAN ROHANI,BABEL,KANTOR PEMASARAN JAKARTA,0.15384615384615385
BACAAN ROHANI,BABEL,KANTOR PEMASARAN PALEMBANG,0.8461538461538461
BACAAN ROHANI,BALI,GUDANG KANTOR PUSAT,0.21875
BACAAN ROHANI,BALI,KANTOR PEMASARAN BANDUNG,0.65625
BACAAN ROHANI,BALI,KANTOR PEMASARAN JAKARTA,0.0625
BACAAN ROHANI,BALI,\N,0.0625
BACAAN ROHANI,BANTEN,GUDANG KANTOR PUSAT,0.6196078431372549
BACAAN ROHANI,BANTEN,KANTOR PEMASARAN DISTRIK TANGERANG,0.27372549019607845
BACAAN ROHANI,BANTEN,KANTOR PEMASARAN JAKARTA,0.006013071895424837
BACAAN ROHANI,BANTEN,SHOWROOM KPJ,0.0033986928104575162
BACAAN ROHANI,BANTEN,TAMAN KOMUNIKASI PUSAT,0.002352941176470588
BACAAN ROHANI,BANTEN,TAMAN KOMUNIKASI ST. LAURENSIUS,0.05934640522875817
BACAAN ROHANI,BANTEN,TAMAN KOMUNIKASI ST. MARIA,0.035555555555555556
BACAAN ROHANI,BENGKULU,GUDANG KANTOR PUSAT,0.8333333333333334
BACAAN ROHANI,BENGKULU,TAMAN KOMUNIKASI PUSAT,0.16666666666666666
BACAAN ROHANI,DIY,GUDANG KANTOR PUSAT,0.4794979079497908
BACAAN ROHANI,DIY,KANTOR PEMASARAN DISTRIK TANGERANG,0.0001394700139470014
BACAAN ROHANI,DIY,KANTOR PEMASARAN JAKARTA,0.011715481171548118
BACAAN ROHANI,DIY,SHOWROOM KPJ,0.0035564853556485356
BACAAN ROHANI,DIY,TAMAN KOMUNIKASI PUSAT,0.48821478382147837
BACAAN ROHANI,DIY,TAMAN KOMUNIKASI ST. LAURENSIUS,0.0029288702928870294
BACAAN ROHANI,DIY,TAMAN KOMUNIKASI ST. MARIA,0.005509065550906555
BACAAN ROHANI,DIY,\N,0.008437935843793584
BACAAN ROHANI,DKI,GUDANG KANTOR PUSAT,0.4304896516910651
BACAAN ROHANI,DKI,KANTOR PEMASARAN BANDUNG,0.0012115093387178194
BACAAN ROHANI,DKI,KANTOR PEMASARAN DISTRIK TANGERANG,0.048965169106511865
BACAAN ROHANI,DKI,KANTOR PEMASARAN JAKARTA,0.44896516910651185
BACAAN ROHANI,DKI,KANTOR PEMASARAN PALEMBANG,0.0005047955577990914
BACAAN ROHANI,DKI,SHOWROOM KPJ,0.025340737001514388
BACAAN ROHANI,DKI,TAMAN KOMUNIKASI PUSAT,0.006865219586067643
BACAAN ROHANI,DKI,TAMAN KOMUNIKASI ST. LAURENSIUS,0.00646138313982837
BACAAN ROHANI,DKI,TAMAN KOMUNIKASI ST. MARIA,0.030691569914184754
BACAAN ROHANI,DKI,\N,0.0005047955577990914
BACAAN ROHANI,ITALI,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI,JABAR,GUDANG KANTOR PUSAT,0.20498148771457422
BACAAN ROHANI,JABAR,KANTOR PEMASARAN BANDUNG,0.4260069561314933
BACAAN ROHANI,JABAR,KANTOR PEMASARAN DISTRIK TANGERANG,0.00190732637720184
BACAAN ROHANI,JABAR,KANTOR PEMASARAN JAKARTA,0.29877706720520586
BACAAN ROHANI,JABAR,KANTOR PEMASARAN PALEMBANG,0.042185571636934815
BACAAN ROHANI,JABAR,KANTOR PEMASARAN SURABAYA,0.00022439133849433412
BACAAN ROHANI,JABAR,SHOWROOM KPJ,0.015146415348367553
BACAAN ROHANI,JABAR,TAMAN KOMUNIKASI PUSAT,0.0005609783462358353
BACAAN ROHANI,JABAR,TAMAN KOMUNIKASI ST. LAURENSIUS,0.0010097610232245036
BACAAN ROHANI,JABAR,TAMAN KOMUNIKASI ST. MARIA,0.0008975653539773365
BACAAN ROHANI,JABAR,\N,0.008302479524290363
BACAAN ROHANI,JAMBI,GUDANG KANTOR PUSAT,0.9862232779097387
BACAAN ROHANI,JAMBI,KANTOR PEMASARAN JAKARTA,0.003800475059382423
BACAAN ROHANI,JAMBI,KANTOR PEMASARAN PALEMBANG,0.009976247030878859
BACAAN ROHANI,JATENG,GUDANG KANTOR PUSAT,0.8652602926165363
BACAAN ROHANI,JATENG,KANTOR PEMASARAN DISTRIK TANGERANG,0.00011341726210729273
BACAAN ROHANI,JATENG,KANTOR PEMASARAN JAKARTA,0.0026085970284677328
BACAAN ROHANI,JATENG,KANTOR PEMASARAN SURABAYA,0.00022683452421458545
BACAAN ROHANI,JATENG,TAMAN KOMUNIKASI PUSAT,0.06566859476012249
BACAAN ROHANI,JATENG,TAMAN KOMUNIKASI ST. LAURENSIUS,0.0004536690484291709
BACAAN ROHANI,JATENG,TAMAN KOMUNIKASI ST. MARIA,0.00022683452421458545
BACAAN ROHANI,JATENG,\N,0.0654417602359079
BACAAN ROHANI,JATIM,GUDANG KANTOR PUSAT,0.5768804082538274
BACAAN ROHANI,JATIM,KANTOR PEMASARAN SURABAYA,0.4082538273796317
BACAAN ROHANI,JATIM,SHOWROOM KPJ,0.00044375416019525185
BACAAN ROHANI,JATIM,TAMAN KOMUNIKASI PUSAT,0.013978256046150432
BACAAN ROHANI,JATIM,\N,0.00044375416019525185
BACAAN ROHANI,KALBAR,GUDANG KANTOR PUSAT,0.830781010719755
BACAAN ROHANI,KALBAR,SHOWROOM KPJ,0.16079632465543645
BACAAN ROHANI,KALBAR,TAMAN KOMUNIKASI PUSAT,0.008422664624808576
BACAAN ROHANI,KALSEL,GUDANG KANTOR PUSAT,0.7419354838709677
BACAAN ROHANI,KALSEL,TAMAN KOMUNIKASI PUSAT,0.25806451612903225
BACAAN ROHANI,KALTARA,GUDANG KANTOR PUSAT,0.36792452830188677
BACAAN ROHANI,KALTARA,SHOWROOM KPJ,0.6273584905660378
BACAAN ROHANI,KALTARA,TAMAN KOMUNIKASI PUSAT,0.0047169811320754715
BACAAN ROHANI,KALTENG,GUDANG KANTOR PUSAT,0.6363636363636364
BACAAN ROHANI,KALTENG,KANTOR PEMASARAN SURABAYA,0.21212121212121213
BACAAN ROHANI,KALTENG,TAMAN KOMUNIKASI PUSAT,0.15151515151515152
BACAAN ROHANI,KALTIM,GUDANG KANTOR PUSAT,0.9581151832460733
BACAAN ROHANI,KALTIM,TAMAN KOMUNIKASI PUSAT,0.015706806282722512
BACAAN ROHANI,KALTIM,\N,0.02617801047120419
BACAAN ROHANI,KEPULAUAN RIAU,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI,LAMPUNG,GUDANG KANTOR PUSAT,0.4634146341463415
BACAAN ROHANI,LAMPUNG,KANTOR PEMASARAN PALEMBANG,0.5365853658536586
BACAAN ROHANI,MALAYSIA,GUDANG KANTOR PUSAT,0.7532467532467533
BACAAN ROHANI,MALAYSIA,KANTOR PEMASARAN DISTRIK TANGERANG,0.24675324675324675
BACAAN ROHANI,MALUKU,GUDANG KANTOR PUSAT,0.16666666666666666
BACAAN ROHANI,MALUKU,KANTOR PEMASARAN JAKARTA,0.8333333333333334
BACAAN ROHANI,MALUT,GUDANG KANTOR PUSAT,0.5
BACAAN ROHANI,MALUT,TAMAN KOMUNIKASI PUSAT,0.5
BACAAN ROHANI,NTT,GUDANG KANTOR PUSAT,0.8904991948470209
BACAAN ROHANI,NTT,KANTOR PEMASARAN BANDUNG,0.00644122383252818
BACAAN ROHANI,NTT,KANTOR PEMASARAN SURABAYA,0.030595813204508857
BACAAN ROHANI,NTT,SHOWROOM KPJ,0.05152979066022544
BACAAN ROHANI,NTT,TAMAN KOMUNIKASI PUSAT,0.01932367149758454
BACAAN ROHANI,NTT,TAMAN KOMUNIKASI ST. MARIA,0.001610305958132045
BACAAN ROHANI,PAPUA BARAT,GUDANG KANTOR PUSAT,0.9953703703703703
BACAAN ROHANI,PAPUA BARAT,TAMAN KOMUNIKASI PUSAT,0.004629629629629629
BACAAN ROHANI,PAPUA SELATAN,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI,PAPUA TENGAH,GUDANG KANTOR PUSAT,0.5
BACAAN ROHANI,PAPUA TENGAH,KANTOR PEMASARAN JAKARTA,0.04
BACAAN ROHANI,PAPUA TENGAH,KANTOR PEMASARAN SURABAYA,0.02
BACAAN ROHANI,PAPUA TENGAH,TAMAN KOMUNIKASI PUSAT,0.36
BACAAN ROHANI,PAPUA TENGAH,TAMAN KOMUNIKASI ST. LAURENSIUS,0.08
BACAAN ROHANI,PHILIPINA,GUDANG KANTOR PUSAT,0.625
BACAAN ROHANI,PHILIPINA,TAMAN KOMUNIKASI PUSAT,0.375
BACAAN ROHANI,RIAU,GUDANG KANTOR PUSAT,0.42028985507246375
BACAAN ROHANI,RIAU,KANTOR PEMASARAN BANDUNG,0.014492753623188406
BACAAN ROHANI,RIAU,KANTOR PEMASARAN PALEMBANG,0.5652173913043478
BACAAN ROHANI,SULBAR,GUDANG KANTOR PUSAT,0.6666666666666666
BACAAN ROHANI,SULBAR,TAMAN KOMUNIKASI PUSAT,0.3333333333333333
BACAAN ROHANI,SULSEL,GUDANG KANTOR PUSAT,0.6666666666666666
BACAAN ROHANI,SULSEL,TAMAN KOMUNIKASI PUSAT,0.3333333333333333
BACAAN ROHANI,SULTENG,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI,SULTRA,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI,SULUT,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI,SUMBAR,GUDANG KANTOR PUSAT,0.7272727272727273
BACAAN ROHANI,SUMBAR,KANTOR PEMASARAN PALEMBANG,0.2727272727272727
BACAAN ROHANI,SUMSEL,GUDANG KANTOR PUSAT,0.27303754266211605
BACAAN ROHANI,SUMSEL,KANTOR PEMASARAN PALEMBANG,0.7098976109215017
BACAAN ROHANI,SUMSEL,TAMAN KOMUNIKASI PUSAT,0.017064846416382253
BACAAN ROHANI,SUMUT,GUDANG KANTOR PUSAT,0.19937640741382298
BACAAN ROHANI,SUMUT,KANTOR PEMASARAN DISTRIK TANGERANG,0.00017322016282695306
BACAAN ROHANI,SUMUT,KANTOR PEMASARAN JAKARTA,0.0017322016282695306
BACAAN ROHANI,SUMUT,KANTOR PEMASARAN PALEMBANG,0.7975056296552919
BACAAN ROHANI,SUMUT,TAMAN KOMUNIKASI PUSAT,0.0012125411397886714
BACAAN ROHANI,TIMORTIMUR,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI,\N,KANTOR PEMASARAN PALEMBANG,1.0
BACAAN ROHANI BUNDLING,BABEL,KANTOR PEMASARAN PALEMBANG,1.0
BACAAN ROHANI BUNDLING,BALI,GUDANG KANTOR PUSAT,0.6666666666666666
BACAAN ROHANI BUNDLING,BALI,\N,0.3333333333333333
BACAAN ROHANI BUNDLING,BANTEN,GUDANG KANTOR PUSAT,0.08235294117647059
BACAAN ROHANI BUNDLING,BANTEN,KANTOR PEMASARAN DISTRIK TANGERANG,0.43529411764705883
BACAAN ROHANI BUNDLING,BANTEN,TAMAN KOMUNIKASI ST. LAURENSIUS,0.32941176470588235
BACAAN ROHANI BUNDLING,BANTEN,TAMAN KOMUNIKASI ST. MARIA,0.15294117647058825
BACAAN ROHANI BUNDLING,BENGKULU,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,DIY,GUDANG KANTOR PUSAT,0.38598088302230316
BACAAN ROHANI BUNDLING,DIY,SHOWROOM KPJ,0.0004551661356395084
BACAAN ROHANI BUNDLING,DIY,TAMAN KOMUNIKASI PUSAT,0.6099226217569412
BACAAN ROHANI BUNDLING,DIY,TAMAN KOMUNIKASI ST. MARIA,0.0013654984069185253
BACAAN ROHANI BUNDLING,DIY,\N,0.002275830678197542
BACAAN ROHANI BUNDLING,DKI,GUDANG KANTOR PUSAT,0.5522682445759369
BACAAN ROHANI BUNDLING,DKI,KANTOR PEMASARAN DISTRIK TANGERANG,0.09861932938856016
BACAAN ROHANI BUNDLING,DKI,KANTOR PEMASARAN JAKARTA,0.20315581854043394
BACAAN ROHANI BUNDLING,DKI,KANTOR PEMASARAN PALEMBANG,0.0019723865877712033
BACAAN ROHANI BUNDLING,DKI,SHOWROOM KPJ,0.11834319526627218
BACAAN ROHANI BUNDLING,DKI,TAMAN KOMUNIKASI ST. LAURENSIUS,0.007889546351084813
BACAAN ROHANI BUNDLING,DKI,TAMAN KOMUNIKASI ST. MARIA,0.01775147928994083
BACAAN ROHANI BUNDLING,JABAR,GUDANG KANTOR PUSAT,0.03343465045592705
BACAAN ROHANI BUNDLING,JABAR,KANTOR PEMASARAN BANDUNG,0.6291793313069909
BACAAN ROHANI BUNDLING,JABAR,KANTOR PEMASARAN DISTRIK TANGERANG,0.015197568389057751
BACAAN ROHANI BUNDLING,JABAR,KANTOR PEMASARAN JAKARTA,0.23708206686930092
BACAAN ROHANI BUNDLING,JABAR,SHOWROOM KPJ,0.03343465045592705
BACAAN ROHANI BUNDLING,JABAR,TAMAN KOMUNIKASI PUSAT,0.00303951367781155
BACAAN ROHANI BUNDLING,JABAR,TAMAN KOMUNIKASI ST. MARIA,0.00303951367781155
BACAAN ROHANI BUNDLING,JABAR,\N,0.04559270516717325
BACAAN ROHANI BUNDLING,JAMBI,GUDANG KANTOR PUSAT,0.20454545454545456
BACAAN ROHANI BUNDLING,JAMBI,KANTOR PEMASARAN PALEMBANG,0.7954545454545454
BACAAN ROHANI BUNDLING,JATENG,GUDANG KANTOR PUSAT,0.78
BACAAN ROHANI BUNDLING,JATENG,KANTOR PEMASARAN JAKARTA,0.0022222222222222222
BACAAN ROHANI BUNDLING,JATENG,TAMAN KOMUNIKASI PUSAT,0.06555555555555556
BACAAN ROHANI BUNDLING,JATENG,\N,0.15222222222222223
BACAAN ROHANI BUNDLING,JATIM,GUDANG KANTOR PUSAT,0.5152838427947598
BACAAN ROHANI BUNDLING,JATIM,KANTOR PEMASARAN SURABAYA,0.47161572052401746
BACAAN ROHANI BUNDLING,JATIM,SHOWROOM KPJ,0.004366812227074236
BACAAN ROHANI BUNDLING,JATIM,TAMAN KOMUNIKASI PUSAT,0.008733624454148471
BACAAN ROHANI BUNDLING,KALBAR,GUDANG KANTOR PUSAT,0.08888888888888889
BACAAN ROHANI BUNDLING,KALBAR,SHOWROOM KPJ,0.9111111111111111
BACAAN ROHANI BUNDLING,KALSEL,GUDANG KANTOR PUSAT,0.9090909090909091
BACAAN ROHANI BUNDLING,KALSEL,SHOWROOM KPJ,0.09090909090909091
BACAAN ROHANI BUNDLING,KALTARA,SHOWROOM KPJ,0.9787234042553191
BACAAN ROHANI BUNDLING,KALTARA,TAMAN KOMUNIKASI PUSAT,0.02127659574468085
BACAAN ROHANI BUNDLING,KALTENG,GUDANG KANTOR PUSAT,0.8333333333333334
BACAAN ROHANI BUNDLING,KALTENG,TAMAN KOMUNIKASI PUSAT,0.16666666666666666
BACAAN ROHANI BUNDLING,KALTIM,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,KEPULAUAN RIAU,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,LAMPUNG,GUDANG KANTOR PUSAT,0.1568627450980392
BACAAN ROHANI BUNDLING,LAMPUNG,KANTOR PEMASARAN PALEMBANG,0.8235294117647058
BACAAN ROHANI BUNDLING,LAMPUNG,SHOWROOM KPJ,0.0196078431372549
BACAAN ROHANI BUNDLING,MALAYSIA,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,MALUKU,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,MALUT,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,NTT,GUDANG KANTOR PUSAT,0.75
BACAAN ROHANI BUNDLING,NTT,TAMAN KOMUNIKASI PUSAT,0.25
BACAAN ROHANI BUNDLING,PAPUA TENGAH,GUDANG KANTOR PUSAT,0.6707317073170732
BACAAN ROHANI BUNDLING,PAPUA TENGAH,KANTOR PEMASARAN JAKARTA,0.1951219512195122
BACAAN ROHANI BUNDLING,PAPUA TENGAH,KANTOR PEMASARAN SURABAYA,0.024390243902439025
BACAAN ROHANI BUNDLING,PAPUA TENGAH,SHOWROOM KPJ,0.012195121951219513
BACAAN ROHANI BUNDLING,PAPUA TENGAH,TAMAN KOMUNIKASI PUSAT,0.0975609756097561
BACAAN ROHANI BUNDLING,RIAU,GUDANG KANTOR PUSAT,0.019417475728155338
BACAAN ROHANI BUNDLING,RIAU,KANTOR PEMASARAN PALEMBANG,0.9805825242718447
BACAAN ROHANI BUNDLING,SULSEL,GUDANG KANTOR PUSAT,0.9555555555555556
BACAAN ROHANI BUNDLING,SULSEL,KANTOR PEMASARAN SURABAYA,0.03333333333333333
BACAAN ROHANI BUNDLING,SULSEL,TAMAN KOMUNIKASI PUSAT,0.011111111111111112
BACAAN ROHANI BUNDLING,SULTENG,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,SULTRA,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,SULUT,GUDANG KANTOR PUSAT,0.7777777777777778
BACAAN ROHANI BUNDLING,SULUT,KANTOR PEMASARAN SURABAYA,0.2222222222222222
BACAAN ROHANI BUNDLING,SUMBAR,GUDANG KANTOR PUSAT,1.0
BACAAN ROHANI BUNDLING,SUMSEL,GUDANG KANTOR PUSAT,0.3446153846153846
BACAAN ROHANI BUNDLING,SUMSEL,KANTOR PEMASARAN PALEMBANG,0.6553846153846153
BACAAN ROHANI BUNDLING,SUMUT,GUDANG KANTOR PUSAT,0.9873417721518988
